Issue Number,Parent Issue,Issue URL,Title,Assignees,Type,Area,Priority,Initiative,Target Milestone,Size,Estimate,Time Spent,Reporting Date,External Reference,Comments
168,,https://github.com/kiegroup/drools-ansible-rulebook-integration/issues/168,EDA : Details for the 1st HA release,tkobayas,,Runtimes,Major,,Ansible EDA 2.7.x,L,3.0,3.0,2026-06-09,,
194,,https://github.com/kiegroup/drools-ansible-rulebook-integration/issues/194,Backport commits to 2.0.x after 2.0.0-beta2,tkobayas,,Runtimes,Major,,Ansible EDA 2.7.x,S,0.2,0.2,2026-06-09,,
77,,https://github.com/tkobayas/drlx-parser/issues/77,Query enhancements,tkobayas,,Runtimes,Normal,,Future,M,0.6,0.6,2026-06-06,,
13,,https://github.com/casehubio/engine/issues/13,Replay Engine,treblereel,,Runtimes,Normal,,Future,M,0.5,0.5,2026-06-04,,
42,,https://github.com/tkobayas/drlx-parser/issues/42,Windows (temporal and length-based),tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-06-02,,
11,,https://github.com/casehubio/flow/issues/11,Add OpenAPI specification and Swagger UI for REST API documentation,treblereel,,Runtimes,Normal,,Future,M,0.6,0.0,2026-05-31,,
6733,,https://github.com/apache/incubator-kie-drools/issues/6733,"ListDataStore loses insertion order due to IdentityHashMap, breaking sliding window replay",tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-05-30,,
10,,https://github.com/casehubio/flow/issues/10,Add health check endpoints for k8s liveness and readiness probes,treblereel,,Runtimes,Normal,,Future,M,0.6,0.0,2026-05-29,,
26,,https://github.com/tkobayas/drlx-parser/issues/26,DrlxCompiler enhancement round 2,tkobayas,,Runtimes,Major,,Future,L,0.5,0.5,2026-05-29,,
43,,https://github.com/tkobayas/drlx-parser/issues/43,Pluggable operators (temporal),tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-05-29,,
34,,https://github.com/tkobayas/drlx-parser/issues/34,Java++ 'with' style blocks,tkobayas,,Runtimes,Normal,,Future,S,0.1,0.1,2026-05-28,,
196,,https://github.com/kiegroup/drools-ansible-rulebook-integration/issues/196,EDA : Add migration tests sub-module for HA persistence compatibility,tkobayas,,QE,Major,,,M,0.2,0.2,2026-05-27,,
33,,https://github.com/tkobayas/drlx-parser/issues/33,Java++ property accessors in consequences (setter desugaring),tkobayas,,Runtimes,Major,,,S,0.1,0.1,2026-05-27,,
35,,https://github.com/tkobayas/drlx-parser/issues/35,Java++ List and Map access — integration tests,tkobayas,,Runtimes,Major,,,S,0.1,0.1,2026-05-27,,
62,,https://github.com/tkobayas/drlx-parser/issues/62,Positional out-binding (var in positional args),tkobayas,,Runtimes,Major,,,S,0.1,0.1,2026-05-27,,
67,,https://github.com/tkobayas/drlx-parser/issues/67,Basic length/time windows,tkobayas,,Runtimes,Major,,,S,0.1,0.1,2026-05-27,,
6711,,https://github.com/apache/incubator-kie-drools/issues/6711,Issue: NoSuchMethodError after multiple executions when using dynamic rules (KieFileSystem),tkobayas,,Runtimes,Major,,,S,0.1,0.1,2026-05-27,,
68,,https://github.com/tkobayas/drlx-parser/issues/68,Constraint before/after window,tkobayas,,Runtimes,Major,,,S,0.1,0.1,2026-05-27,,
73,,https://github.com/tkobayas/drlx-parser/issues/73,Runtime support for CEP windows (EventHandle + STREAM mode),tkobayas,,Runtimes,Major,,,S,0.1,0.1,2026-05-27,,
12,,https://github.com/casehubio/engine/issues/12,StateContext Replay Projection,treblereel,,Runtimes,Normal,,,L,0.7,0.7,2026-05-26,,
182,,https://github.com/kiegroup/drools-ansible-rulebook-integration/issues/182,Re-organize load tests,tkobayas,,QE,Major,,,M,0.7,0.7,2026-05-26,,
58,,https://github.com/tkobayas/drlx-parser/issues/58,Queries: recursive / transitive closure,tkobayas,,Runtimes,Major,,,S,0.1,0.1,2026-05-26,,
12,,https://github.com/tkobayas/drlx-parser/issues/12,Add `if` / `else` branching in rule body,tkobayas,,Runtimes,Major,,,S,0.1,0.1,2026-05-25,,
297,,https://github.com/apache/incubator-kie-benchmarks/issues/297,Enable exec-model benchmark for KBaseCreationFromDrlBenchmark and BuildDRLWithoutKieBaseBenchmark,tkobayas,,QE,Normal,,,S,0.1,0.1,2026-05-25,,
41,,https://github.com/tkobayas/drlx-parser/issues/41,Queries v1 — definition and basic invocation,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-05-23,,
52,,https://github.com/tkobayas/drlx-parser/issues/52,Accumulate: multi-pattern source via and(...),tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-05-22,,
53,,https://github.com/tkobayas/drlx-parser/issues/53,Accumulate: custom user-imported accumulate functions,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-05-22,,
54,,https://github.com/tkobayas/drlx-parser/issues/54,Accumulate: outer-binding refs in extractor expressions (sum(p.age * q.factor)),tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-05-22,,
432,,https://github.com/mvel/mvel/issues/432,mvel3 : Map evaluator does not write back ++/-- increment/decrement to context map,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-05-21,,
51,,https://github.com/tkobayas/drlx-parser/issues/51,"Accumulate: acc() keyword forms (2-, 3-, and 5-param)",tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-05-21,,
50,,https://github.com/tkobayas/drlx-parser/issues/50,Accumulate: inline-from form (avg(/persons.age)),tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-05-20,,
49,,https://github.com/tkobayas/drlx-parser/issues/49,Accumulate: MultiAccumulate folding (N SingleAccumulates → one node),tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-05-19,,
2281,,https://github.com/apache/incubator-kie-issues/issues/2281,DRLGEN Second level of DRL generation,Rikkola,,Runtimes,Minor,,Future,S,1.0,0.2,2026-05-16,,
2282,,https://github.com/apache/incubator-kie-issues/issues/2282,Droolsvol2 bilinear cache,Rikkola,,Runtimes,Normal,,Future,XS,1.0,0.9,2026-05-16,,
39,,https://github.com/tkobayas/drlx-parser/issues/39,Accumulate (acc keyword),tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-05-16,,
413,,https://github.com/mvel/mvel/issues/413,MVEL3: Add optional class allowlist/blocklist to CompilerParameters,tkobayas,,Runtimes,Major,,Future,S,0.3,0.3,2026-05-16,,
422,,https://github.com/mvel/mvel/issues/422,Expression 1 + 1 * 1 * D is not compiled,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-05-16,,
48,,https://github.com/tkobayas/drlx-parser/issues/48,Accumulate: MVEL3-backed extractor for arbitrary argument expressions,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-05-16,,
6576,,https://github.com/apache/incubator-kie-drools/issues/6576,Native Java Compiler as default instead of ecj,tkobayas,,Runtimes,Normal,,Future,M,0.8,0.8,2026-05-16,,
244,,https://github.com/casehubio/engine/issues/244,Add AI Agent support as Worker execution type,treblereel,,Runtimes,Normal,,Future,M,0.6,0.0,2026-05-13,,
428,,https://github.com/mvel/mvel/issues/428,mvel3: review and refactor lambda persistence,tkobayas,,Runtimes,Normal,,Future,S,0.2,0.2,2026-05-13,,
45,,https://github.com/tkobayas/drlx-parser/issues/45,DataStore.update(T) coercion in DRLX consequences,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-05-13,,
37,,https://github.com/tkobayas/drlx-parser/issues/37,Add/Remove/Update operations on DataStores,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-05-12,,
46,,https://github.com/tkobayas/drlx-parser/issues/46,Compact 'with' block update syntax,tkobayas,,Runtimes,Major,,Future,S,0.0,0.0,2026-05-12,,
6572,,https://github.com/apache/incubator-kie-drools/issues/6572,Clean up old / unused java versions for DRL compilation,tkobayas,,Runtimes,Normal,,Future,S,0.1,0.1,2026-05-12,,
2,,https://github.com/casehubio/flow/issues/2,Implement REST API v1 — case definition discovery endpoints,treblereel,,Runtimes,Normal,,Future,M,0.6,0.6,2026-05-09,,
3,,https://github.com/casehubio/engine/issues/3,ExpressionEngine SPI and Registry,treblereel,,Runtimes,Normal,,Future,M,0.5,0.5,2026-05-09,,
3,,https://github.com/casehubio/flow/issues/3,Implement case definition loading — CDI bean discovery and classpath YAML scanning,treblereel,,Runtimes,Normal,,Future,M,0.6,0.6,2026-05-09,,
4,,https://github.com/casehubio/engine/issues/4,Refactor ExpressionEvaluator hierarchy,treblereel,,Runtimes,Normal,,Future,M,0.6,0.6,2026-05-09,,
4,,https://github.com/casehubio/flow/issues/4,"Implement REST API v1 — case lifecycle endpoints (start, status, context queries)",treblereel,,Runtimes,Normal,,Future,M,0.6,0.6,2026-05-09,,
5,,https://github.com/casehubio/flow/issues/5,Implement REST API v1 — signal endpoint for external events,treblereel,,Runtimes,Normal,,Future,M,0.6,0.6,2026-05-09,,
6,,https://github.com/casehubio/flow/issues/6,"Implement REST API v1 — case control operations (suspend, resume, cancel)",treblereel,,Runtimes,Normal,,Future,M,0.6,0.6,2026-05-09,,
6696,,https://github.com/apache/incubator-kie-drools/issues/6696,DRL10 rejects diamond operators in function body,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-05-09,,
7,,https://github.com/casehubio/flow/issues/7,Implement REST API v1 — event log/audit trail endpoint,treblereel,,Runtimes,Normal,,Future,M,0.6,0.0,2026-05-09,,
25,26,https://github.com/tkobayas/drlx-parser/issues/25,Add benchmark measuring KieSession execution (fireAllRules) - DrlxCompiler vs Executable-model,tkobayas,,QE,Normal,,Future,XS,0.05,0.05,2026-05-01,,
14,4,https://github.com/casehubio/engine/issues/14,Case Lifecycle Management (Suspend / Resume / Cancel),treblereel,,Runtimes,Normal,,Future,L,1.0,1.0,2026-04-29,,
4,,https://github.com/tkobayas/drlx-parser/issues/4,DrlxCompiler enhancement round 1,tkobayas,,Runtimes,Major,,Future,L,3.0,3.0,2026-04-29,,
425,,https://github.com/mvel/mvel/issues/425,MVEL.map: bean-getter rewrite skipped inside !(...) — private field access leaks into generated source,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-04-29,,
19,4,https://github.com/tkobayas/drlx-parser/issues/19,DrlxLambdaConstraint should implement getListenedPropertyMask,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-04-28,,
23,4,https://github.com/tkobayas/drlx-parser/issues/23,Implement DRLXXXX 'test' construct (eval-style guard),tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-04-28,,
11,4,https://github.com/casehubio/engine/issues/11,Event Log Model,treblereel,,Runtimes,Normal,,Future,M,0.4,0.0,2026-04-27,,
17,4,https://github.com/tkobayas/drlx-parser/issues/17,Allow bound patterns as children of and() / or() group CEs,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-04-27,,
18,4,https://github.com/tkobayas/drlx-parser/issues/18,Use TrackingAgendaEventListener for rule assertion,tkobayas,,Runtimes,Normal,,Future,XS,0.02,0.02,2026-04-27,,
10,4,https://github.com/tkobayas/drlx-parser/issues/10,Add passive pattern syntax (`?/persons[...]`),tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-04-25,,
13,4,https://github.com/tkobayas/drlx-parser/issues/13,"Add property-reactive watch list (`[][basePay, bonusPay]`)",tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-04-25,,
19,4,https://github.com/casehubio/engine/issues/19,Task Deadlines and Escalation,treblereel,,Runtimes,Normal,,Future,L,1.0,0.0,2026-04-25,,
11,4,https://github.com/tkobayas/drlx-parser/issues/11,Add `or()` / `and()` group conditional elements,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-04-23,,
14,4,https://github.com/tkobayas/drlx-parser/issues/14,Infer pattern type from unit class DataSource/DataStore fields,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-04-23,,
15,4,https://github.com/tkobayas/drlx-parser/issues/15,Switch runtime to RuleUnitInstance model,tkobayas,,Runtimes,Normal,,Future,S,0.1,0.1,2026-04-23,,
2,4,https://github.com/tkobayas/drlx-parser/issues/2,test: split DrlxRuleBuilderTest by syntax feature,tkobayas,,QE,Minor,,Future,XS,0.02,0.02,2026-04-23,,
21,,https://github.com/casehubio/engine/issues/21,Scheduled Triggers (Cron / Timer Events),treblereel,,Runtimes,Normal,,Future,L,1.0,0.0,2026-04-23,,
7,4,https://github.com/tkobayas/drlx-parser/issues/7,Generalize ruleBody for nested group elements,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-04-23,,
8,4,https://github.com/casehubio/engine/issues/8,Runtime refactor: remove dependency on JQEvaluator,treblereel,,Runtimes,Normal,,Future,M,0.4,0.0,2026-04-23,,
8,4,https://github.com/tkobayas/drlx-parser/issues/8,Add `not /pattern` syntax,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-04-23,,
9,4,https://github.com/tkobayas/drlx-parser/issues/9,Add `exists /pattern` syntax,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-04-23,,
1,4,https://github.com/tkobayas/drlx-parser/issues/1,Add DRLX positional pattern syntax with @Position field resolution,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-04-22,,
3,4,https://github.com/tkobayas/drlx-parser/issues/3,"Add DRLX rule-level annotations (@Salience, @Description)",tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-04-22,,
6,2,https://github.com/casehubio/engine/issues/6,Java Predicate Expression,treblereel,,Runtimes,Normal,,Future,S,0.3,0.3,2026-04-17,,
6659,,https://github.com/apache/incubator-kie-drools/issues/6659,PseudoClockScheduler may retain 1000 canceled jobs at most,tkobayas,,Runtimes,Major,,Future,S,0.3,0.3,2026-04-15,,
7,2,https://github.com/casehubio/engine/issues/7,Pre-validation of expressions during definition registration,treblereel,,Runtimes,Normal,,Future,M,0.4,0.0,2026-04-15,,
27,,https://github.com/casehubio/engine/issues/27,Improve build configuration and code quality enforcement,treblereel,,Runtimes,Normal,,Future,S,0.2,0.2,2026-04-14,,
417,,https://github.com/mvel/mvel/issues/417,MVEL2: compileExpression returns wrong result for boolean literal expression,tkobayas,,Runtimes,Normal,,Future,S,0.1,0.1,2026-04-13,,
25,,https://github.com/casehubio/engine/issues/25,Add GitHub Action to run Maven tests for pull requests,treblereel,,Runtimes,Normal,,Future,S,0.2,0.0,2026-04-11,,
